item_name,category,price,cost
Dragon Roll,Sushi,18,6
Salmon Nigiri,Sushi,12,4
Tuna Sashimi,Sashimi,22,10
Ebi Tempura,Hot Dishes,15,5
Miso Soup,Hot Dishes,6,1
Green Tea,Drinks,4,0.5
Sake Bottle,Drinks,35,12
California Roll,Sushi,14,5
Edamame,Hot Dishes,7,1.5
Mochi Ice Cream,Desserts,8,3
Yellowtail Roll,Sushi,16,6
Spider Roll,Sushi,18,8
Tuna Nigiri,Sushi,13,4
Salmon Sashimi,Sashimi,20,8
Gyoza,Hot Dishes,9,3
Agedashi Tofu,Hot Dishes,10,3
Sapporo Beer,Drinks,7,2
Ramune Soda,Drinks,5,1.5
Matcha Cake,Desserts,10,4
Tempura Udon,Hot Dishes,16,6
Spicy Tuna Roll,Sushi,15,5
